		Company Market Cap
MITRA.BR	2015	317367862.4
DBG.PA	2018	655187362.4
DBG.PA	2017	1493263443
DBG.PA	2016	688454754.8
DBG.PA	2015	557360011.5
DBG.PA	2014	428609176.5
DBG.PA	2013	406254266.5
DBG.PA	2012	529458394.5
DBG.PA	2011	393648114.3
DBG.PA	2010	888444128.7
DBG.PA	2009	529931193
DBG.PA	2008	274848557.7
ASIT.BR	2018	29894878
ASIT.BR	2017	46486143
ASIT.BR	2016	81043950.4
SMCP.PA	2018	985214938
SMCP.PA	2017	1408522943
SLIGR.AS	2018	1540074522
SLIGR.AS	2017	1763562348
SLIGR.AS	2016	1463955896
SLIGR.AS	2015	1473691999
SLIGR.AS	2014	1382969219
SLIGR.AS	2013	1248433973
SLIGR.AS	2012	962546576.2
SLIGR.AS	2011	918291561.3
SLIGR.AS	2010	1026937623
SLIGR.AS	2009	1063005460
SLIGR.AS	2008	651008535.2
TESB.BR	2018	1255577089
TESB.BR	2017	1677589335
TESB.BR	2016	1498797163
TESB.BR	2015	1179824855
TESB.BR	2014	887572046.4
TESB.BR	2013	603340082.4
TESB.BR	2012	761651532
TESB.BR	2011	606567931.3
TESB.BR	2010	780776729
TESB.BR	2009	640749777.7
TESB.BR	2008	599438419.4
PLVP.PA	2018	196696584
PLVP.PA	2017	413748720
PLVP.PA	2016	389382903
PLVP.PA	2015	201481245
PLVP.PA	2014	96799500
PLVP.PA	2013	53378010
PLVP.PA	2012	35788158
PLVP.PA	2011	49754943
PLVP.PA	2010	65270520
PLVP.PA	2009	39632481
PLVP.PA	2008	47431755
ALCJ.PA	2018	16405664.22
ALCJ.PA	2017	41478790.26
ALCJ.PA	2016	33105663.5
ALCJ.PA	2015	69236597.7
ALCJ.PA	2014	58202936
VCTP.PA	2018	1861554000
VCTP.PA	2017	2940426014
VCTP.PA	2016	2588934000
VCTP.PA	2015	2484766000
VCTP.PA	2014	2676040000
VCTP.PA	2013	2424600000
VCTP.PA	2012	2118382000
VCTP.PA	2011	1984804500
VCTP.PA	2010	2806250000
VCTP.PA	2009	2640120000
VCTP.PA	2008	1679260000
LECS.PA	2018	574085876.6
LECS.PA	2017	785942831.8
LECS.PA	2016	557517986.9
LECS.PA	2015	372270995.8
LECS.PA	2014	271376160.4
LECS.PA	2013	241498120.5
LECS.PA	2012	136714075.3
LECS.PA	2011	131079364.4
LECS.PA	2010	119396203.7
LECS.PA	2009	64114906.5
LECS.PA	2008	92610420.5
CRIP.PA	2018	395669484
CRIP.PA	2017	590461081
CRIP.PA	2016	366539658.2
CRIP.PA	2015	205714647
CRIP.PA	2014	80942651.01
CRIP.PA	2013	69695194.5
CRIP.PA	2012	40870461.03
CRIP.PA	2011	45931287.5
CRIP.PA	2010	60282961.9
CRIP.PA	2009	58734369.02
CRIP.PA	2008	72639679
RETE.BR	2018	879539661
RETE.BR	2017	692530591.7
RETE.BR	2016	677417241.6
RETE.BR	2015	696717827
RETE.BR	2014	512456674.7
RETE.BR	2013	410523043.4
RETE.BR	2012	313908588
RETE.BR	2011	264374992
RETE.BR	2010	225563530
RETE.BR	2009	184924128
RETE.BR	2008	131973475.9
KIPO.BR	2018	1335421614
KIPO.BR	2017	1523146865
KIPO.BR	2016	1163020872
KIPO.BR	2015	1132919156
KIPO.BR	2014	915639491.6
KIPO.BR	2013	642563475.4
KIPO.BR	2012	480175090.9
KIPO.BR	2011	363027541.8
KIPO.BR	2010	353400370.2
KIPO.BR	2009	203764873.2
KIPO.BR	2008	114011298.1
MANP.PA	2018	888572137.6
MANP.PA	2017	1206334445
MANP.PA	2016	739621446.3
MANP.PA	2015	557682480.9
MANP.PA	2014	482497177.8
MANP.PA	2013	545775496.2
MANP.PA	2012	514136337
MANP.PA	2011	464291453.8
MANP.PA	2010	650106279.7
MANP.PA	2009	389951065.2
MANP.PA	2008	308143676
GENC.PA	2018	484181776.7
GENC.PA	2017	772121339.9
GENC.PA	2016	899469101.5
GENC.PA	2015	699971848.1
GENC.PA	2014	1416924920
GENC.PA	2013	1482322346
GENC.PA	2012	1237496455
GENC.PA	2011	1002803810
GENC.PA	2010	1425795597
GENC.PA	2009	1037823430
GENC.PA	2008	681611854
NEOEN.PA	2018	1609095012
POXEL.PA	2018	131611249.4
POXEL.PA	2017	150658168
POXEL.PA	2016	159830659.2
POXEL.PA	2015	256733238.7
BGBN.PA	2018	156195953.2
BGBN.PA	2017	253230444.8
BGBN.PA	2016	127557773
BGBN.PA	2015	67286387.4
BGBN.PA	2014	84498470.5
BGBN.PA	2013	134490012.8
BGBN.PA	2012	133169570.2
BGBN.PA	2011	114122671
BGBN.PA	2010	106555671
BGBN.PA	2009	94046163.75
BGBN.PA	2008	60612055.68
OBEL.BR	2018	1034648497
OBEL.BR	2017	1050252245
OBEL.BR	2016	1191586190
OBEL.BR	2015	1340121865
OBEL.BR	2014	1176582586
OBEL.BR	2013	828198913.2
OBEL.BR	2012	1163679487
OBEL.BR	2011	2429983623
OBEL.BR	2010	2911299223
OBEL.BR	2009	2874390359
OBEL.BR	2008	3099144339
PRIF.BR	2018	500353338.2
PRIF.BR	2017	398981753.4
PRIF.BR	2016	401150051.9
PRIF.BR	2015	395752959.5
PRIF.BR	2014	363237885
PRIF.BR	2013	280998649.4
PRIF.BR	2012	285701143
PRIF.BR	2011	252416896.1
PRIF.BR	2010	326681701.8
PRIF.BR	2009	304569147.3
PRIF.BR	2008	246741010.5
XIOR.BR	2018	523214970
XIOR.BR	2017	316920428.5
XIOR.BR	2016	187998770.7
XIOR.BR	2015	123535026
ROTH.PA	2018	2391269140
ROTH.PA	2017	2358598883
ROTH.PA	2016	1825650797
ROTH.PA	2015	1668311906
ROTH.PA	2014	1263657529
ROTH.PA	2013	1263071410
ROTH.PA	2012	1224113210
ROTH.PA	2011	472609986.2
ROTH.PA	2010	602050820.8
ROTH.PA	2009	655926884.6
ROTH.PA	2008	526411120
GIMV.BR	2018	1192510917
GIMV.BR	2017	1278665335
GIMV.BR	2016	1338714281
GIMV.BR	2015	1178653381
GIMV.BR	2014	967103469.5
GIMV.BR	2013	939294392.2
GIMV.BR	2012	908946403
GIMV.BR	2011	854731064.4
GIMV.BR	2010	947203324.3
GIMV.BR	2009	846619462.6
GIMV.BR	2008	718456155
VILM.PA	2018	1177115463
VILM.PA	2017	1840466903
VILM.PA	2016	1246492357
VILM.PA	2015	1379204312
VILM.PA	2014	1601748273
VILM.PA	2013	1840959349
VILM.PA	2012	1611614254
VILM.PA	2011	1268113139
VILM.PA	2010	1467154386
VILM.PA	2009	1158395631
VILM.PA	2008	978944746.7
ALFEN.AS	2018	246200000
ACCG.AS	2018	501094149.4
ACCG.AS	2017	615158844
ACCG.AS	2016	566028110.8
ACCG.AS	2015	532319438.3
ACCG.AS	2014	338163401.6
ACCG.AS	2013	326998176.6
ACCG.AS	2012	317622279.9
ACCG.AS	2011	296824176
ACCG.AS	2010	389510326.8
ACCG.AS	2009	285229277.2
ACCG.AS	2008	167361084
ALCLS.PA	2018	634950367
ALCLS.PA	2017	856528025.8
ALCLS.PA	2016	572757202.1
ALCLS.PA	2015	980011962.8
ALCLS.PA	2014	340840817.4
ALCLS.PA	2013	46999842.2
ALCLS.PA	2012	142429956.6
ALCLS.PA	2011	89433063.18
ALCLS.PA	2010	86176226.4
ALCLS.PA	2009	120013689.9
ALCLS.PA	2008	66574307.15
MAUP.PA	2018	648304676.1
MAUP.PA	2017	703225126.8
MAUP.PA	2016	824336120.9
MAUP.PA	2015	580103064.1
MAUP.PA	2014	943200287.3
MAUP.PA	2013	1477199204
MAUP.PA	2012	1540777663
MAUP.PA	2011	1428763960
MAUP.PA	2010	1279682284
MAUP.PA	2009	1536872535
MAUP.PA	2008	986261021.3
MONTE.BR	2018	766318581.6
MONTE.BR	2017	498672306.4
MONTE.BR	2016	461468861.1
MONTE.BR	2015	361098679.2
MONTE.BR	2014	301063059.4
MONTE.BR	2013	208506908.4
MONTE.BR	2012	160009178.4
MONTE.BR	2011	138148769.5
MONTE.BR	2010	132345619.7
MONTE.BR	2009	89239461.06
MONTE.BR	2008	96804558
RECT.BR	2018	352900606.7
RECT.BR	2017	423421239.6
RECT.BR	2016	358434507.6
RECT.BR	2015	300897004.8
RECT.BR	2014	152711589.9
RECT.BR	2013	162973614.3
RECT.BR	2012	152468773.1
RECT.BR	2011	131927439.4
RECT.BR	2010	229426446.1
RECT.BR	2009	145767320.1
RECT.BR	2008	118092218.3
IPAR.PA	2018	1450089945
IPAR.PA	2017	1349511322
IPAR.PA	2016	970218053.2
IPAR.PA	2015	728941673.6
IPAR.PA	2014	654417230.6
IPAR.PA	2013	758680376.8
IPAR.PA	2012	509526971.2
IPAR.PA	2011	325017987.8
IPAR.PA	2010	492751876.7
IPAR.PA	2009	292156509.1
IPAR.PA	2008	241730419.3
VTX.PA	2018	37762628.39
CYAD.BR	2018	198123487
CYAD.BR	2017	341526080.8
CYAD.BR	2016	165875269.4
CYAD.BR	2015	450778385.2
CYAD.BR	2014	238669119.3
CYAD.BR	2013	161802835.6
ACPH.BR	2018	68250716.56
CORA.LS	2018	1197000000
CORA.LS	2017	1369900000
CORA.LS	2016	1130500000
CORA.LS	2015	791084000
CORA.LS	2014	401660000
CORA.LS	2013	293930000
CORA.LS	2012	212800000
CORA.LS	2011	179550000
CORA.LS	2010	154280000
CORA.LS	2009	125020000
CORA.LS	2008	107730000
IMAF.PA	2018	2662968348
IMAF.PA	2017	3340388320
IMAF.PA	2016	2783609152
IMAF.PA	2015	2302851448
IMAF.PA	2014	1647039405
IMAF.PA	2013	1483879040
IMAF.PA	2012	1276638597
IMAF.PA	2011	1226547449
IMAF.PA	2010	1272352125
IMAF.PA	2009	1089133419
IMAF.PA	2008	1346280012
SVEL.AS	2018	279932489.1
SVEL.AS	2017	537898983.8
SVEL.AS	2016	358286798.3
SVEL.AS	2015	319614912.2
SVEL.AS	2014	280244407.1
SVEL.AS	2013	309150282.6
SVEL.AS	2012	186371200
SVEL.AS	2011	189626662.5
SVEL.AS	2010	164087423
SVEL.AS	2009	105808096.9
SVEL.AS	2008	74080834.78
BE0944264663.BR		NULL
VELD.BR	2018	341055488
VELD.BR	2017	589402558
VELD.BR	2016	881415276.8
VELD.BR	2015	835985620
VELD.BR	2014	518777371.2
VELD.BR	2013	484938272
VELD.BR	2012	455628816
VELD.BR	2011	470683218.4
VELD.BR	2010	527570208
VELD.BR	2009	391148012.8
VELD.BR	2008	325361040
AVOM.PA	2018	17017290.75
AVOM.PA	2017	23205396.48
AVOM.PA	2016	4420075.52
AVOM.PA	2015	9945169.92
AVOM.PA	2014	20575696.9
AVOM.PA	2013	29901086.4
AVOM.PA	2012	42048402.75
AVOM.PA	2011	50458083.3
AVOM.PA	2010	73549707.05
AVOM.PA	2009	105023211.4
AVOM.PA	2008	39895784.85
GVI.PA	2018	3281874.564
GVI.PA	2017	18648418.2
GVI.PA	2016	19970648.32
GVI.PA	2015	39183481.86
GVI.PA	2014	50618182.59
AJAX.AS	2018	266749995.2
AJAX.AS	2017	183516663.3
AJAX.AS	2016	160416663.8
AJAX.AS	2015	155833330.5
AJAX.AS	2014	171526663.5
AJAX.AS	2013	144833330.7
AJAX.AS	2012	114784997.9
AJAX.AS	2011	135666664.2
AJAX.AS	2010	127416664.4
AJAX.AS	2009	123933331.1
AJAX.AS	2008	130166664.3
CPINV.BR	2018	390321469
CPINV.BR	2017	355752139
CPINV.BR	2016	266560024
CPINV.BR	2015	198127744
CPINV.BR	2014	163248705.7
CPINV.BR	2013	135799940
CPINV.BR	2012	120870900
CPINV.BR	2011	119211000
CPINV.BR	2010	110589580
CPINV.BR	2009	96636460.6
CPINV.BR	2008	87019000
LNA.PA	2018	422693556.4
LNA.PA	2017	569058338.8
LNA.PA	2016	343104873
LNA.PA	2015	235394162
LNA.PA	2014	174345097.8
LNA.PA	2013	125996579.7
LNA.PA	2012	102078585
LNA.PA	2011	105922548.4
LNA.PA	2010	120358766.7
LNA.PA	2009	133342821
LNA.PA	2008	90876193.3
DAMA.PA	2018	2331000000
DAMA.PA	2017	3033715280
DAMA.PA	2016	2868240000
DAMA.PA	2015	2582600000
DAMA.PA	2014	1630054400
DAMA.PA	2013	1449808000
DAMA.PA	2012	1022702400
DAMA.PA	2011	1190409920
DAMA.PA	2010	1348007968
DAMA.PA	2009	1003110400
DAMA.PA	2008	893395200
SHUR.BR	2018	2156690264
BOND.PA	2018	916783751.2
BOND.PA	2017	1410400000
BOND.PA	2016	800320000
BOND.PA	2015	737280000
BOND.PA	2014	641920000
BOND.PA	2013	616000000
BOND.PA	2012	572000000
BOND.PA	2011	500005937.5
BOND.PA	2010	571840000
BOND.PA	2009	635680000
BOND.PA	2008	469600000
VGP1.BR	2018	1103833170
VGP1.BR	2017	1153078253
VGP1.BR	2016	1670802025
VGP1.BR	2015	613426480.5
VGP1.BR	2014	422392726.5
VGP1.BR	2013	338769001.5
VGP1.BR	2012	365528593.5
VGP1.BR	2011	352892119.5
VGP1.BR	2010	308478630
VGP1.BR	2009	306620325
VGP1.BR	2008	315911850
AUBT.PA	2018	369800807.4
AUBT.PA	2017	452671661.6
AUBT.PA	2016	345302844
AUBT.PA	2015	239496840.5
AUBT.PA	2014	132416410.3
AUBT.PA	2013	97762225.92
AUBT.PA	2012	67109644.54
AUBT.PA	2011	64789050.48
AUBT.PA	2010	70368439.4
AUBT.PA	2009	53607452.85
AUBT.PA	2008	35271740.25
RBEN.AS	2018	2819084688
RBEN.AS	2017	3026060541
RBEN.AS	2016	2787200000
RBEN.AS	2015	2712000000
RBEN.AS	2014	2568800000
RBEN.AS	2013	13461976548
RBEN.AS	2012	11449917688
RBEN.AS	2011	10316023606
RBEN.AS	2010	11396841794
RBEN.AS	2009	9770789430
RBEN.AS	2008	7715304839
LNRE.BR	2018	517988685.6
LNRE.BR	2017	474131520
LNRE.BR	2016	521050785
LNRE.BR	2015	459759408.3
LNRE.BR	2014	452449880.7
LNRE.BR	2013	363500832
LNRE.BR	2012	269261027.2
LNRE.BR	2011	260793951.7
LNRE.BR	2010	254253035.5
LNRE.BR	2009	236636703
LNRE.BR	2008	192816577.6
BNAB.BR	2018	964000000
BNAB.BR	2017	1137400598
BNAB.BR	2016	1198000000
BNAB.BR	2015	1319180000
BNAB.BR	2014	1338420000
BNAB.BR	2013	1189200000
BNAB.BR	2012	965596000
BNAB.BR	2011	903600000
BNAB.BR	2010	1394016000
BNAB.BR	2009	1360000000
BNAB.BR	2008	980000000
NIBC.AS	2018	1225688583
ALLDL.PA	2018	36541772.68
ALLDL.PA	2017	126378898.9
ALLDL.PA	2016	229239563.6
ALLDL.PA	2015	160926472
ALLDL.PA	2014	120982222.7
ALLDL.PA	2013	122419066.2
ALLDL.PA	2012	41266145.32
ALLDL.PA	2011	37357931
ALLDL.PA	2010	31035819.6
ALLDL.PA	2009	15138020.92
ALLDL.PA	2008	12035529
LFDE.PA	2018	55884650.15
LFDE.PA	2017	91173132
LFDE.PA	2016	58198849.26
ECONB.BR	2018	713358651.3
ECONB.BR	2017	1460301542
ECONB.BR	2016	1568518861
ECONB.BR	2015	961589826.7
ECONB.BR	2014	738014003.4
ECONB.BR	2013	934017309.8
ECONB.BR	2012	575314948.6
ECONB.BR	2011	406988548.4
ECONB.BR	2010	248000000
ECONB.BR	2009	256680000
ECONB.BR	2008	166152000
ALVMG.PA	2018	19732212.03
ALVMG.PA	2017	28992297.42
ALVMG.PA	2016	30791712.37
ALVMG.PA	2015	55030455.2
ALVMG.PA	2014	26885610.5
ALVMG.PA	2013	7141703.1
ALVMG.PA	2012	9844488.36
ALVMG.PA	2011	13282246.2
NSTEc.AS	2018	633383561.8
NSTEc.AS	2017	638459155.5
NSTEc.AS	2016	513883500.6
NSTEc.AS	2015	569787145.1
NSTEc.AS	2014	527787740.4
NSTEc.AS	2013	659376318.8
NSTEc.AS	2012	415523482.2
NSTEc.AS	2011	570415003.2
NSTEc.AS	2010	648434421.5
NSTEc.AS	2009	558791683.4
NSTEc.AS	2008	401027851.6
IBAB.BR	2018	386773259.5
IBAB.BR	2017	715648245.7
IBAB.BR	2016	1239389449
IBAB.BR	2015	987000771.3
IBAB.BR	2014	407167149.4
IBAB.BR	2013	215556424.2
IBAB.BR	2012	151378374.8
IBAB.BR	2011	130531183.6
IBAB.BR	2010	222769301.4
IBAB.BR	2009	225776859.7
IBAB.BR	2008	205864001.8
TUB.BR	2018	2704099899
TUB.BR	2017	2845764440
TUB.BR	2016	2642622833
TUB.BR	2015	3034738773
TUB.BR	2014	2345978422
TUB.BR	2013	2101075940
TUB.BR	2012	1439080888
TUB.BR	2011	1083548505
TUB.BR	2010	979609928.8
TUB.BR	2009	1083994593
TUB.BR	2008	583483509.5
JCQ.PA	2018	372921357.8
JCQ.PA	2017	660782045
JCQ.PA	2016	476003356.8
JCQ.PA	2015	343606663.4
JCQ.PA	2014	373642210.9
JCQ.PA	2013	313090547.1
JCQ.PA	2012	210969685.6
JCQ.PA	2011	191506650.9
JCQ.PA	2010	312129409.6
JCQ.PA	2009	173708436.2
JCQ.PA	2008	167027342.5
GFLO.PA	2018	149205637
GFLO.PA	2017	198940849.4
GFLO.PA	2016	26981856.09
GFLO.PA	2015	91416139.29
GFLO.PA	2014	100678567.5
GFLO.PA	2013	118698873
GFLO.PA	2012	118559229
GFLO.PA	2011	138537243.4
GFLO.PA	2010	190261127.3
GFLO.PA	2009	138124131.3
GFLO.PA	2008	80610323.64
ASY.PA	2018	423825242.8
ASY.PA	2017	468793022.7
ASY.PA	2016	588116177.5
ASY.PA	2015	533903730.5
ASY.PA	2014	387373070
ASY.PA	2013	385702613.2
ASY.PA	2012	303573210.4
ASY.PA	2011	238861421.7
ASY.PA	2010	273567539.7
ASY.PA	2009	165018231.3
ASY.PA	2008	114544490.1
SIFB.BR	2018	516271206.4
SIFB.BR	2017	661335376.4
SIFB.BR	2016	541490752.6
SIFB.BR	2015	472383319.8
SIFB.BR	2014	426818963.2
SIFB.BR	2013	516515398
SIFB.BR	2012	523676790
SIFB.BR	2011	519200920
SIFB.BR	2010	635573540
SIFB.BR	2009	311341517.2
SIFB.BR	2008	167308020.6
CBOS.BR	2018	635379966
CBOS.BR	2017	601988787
CBOS.BR	2016	515667313.7
CBOS.BR	2015	415197614
CBOS.BR	2014	333287500
CBOS.BR	2013	337171304.4
CBOS.BR	2012	300891086
CBOS.BR	2011	258261500
CBOS.BR	2010	317230130
CBOS.BR	2009	264082362.9
CBOS.BR	2008	237063107
ALLEX.PA	2018	5733687.96
ALLEX.PA	2017	9437271.99
ALLEX.PA	2016	8187302.19
ALLEX.PA	2015	17856223.2
ALLEX.PA	2014	12482822.7
ALLEX.PA	2013	17740042.68
ALLEX.PA	2012	19275627.24
ALLEX.PA	2011	14792034.95
ALLEX.PA	2010	4760446.96
ALLEX.PA	2009	8178493
ALLEX.PA	2008	9340403.04
SONAC.LS	2018	212250000
SONAC.LS	2017	221750000
SONAC.LS	2016	187000000
SONAC.LS	2015	127500000
SONAC.LS	2014	65250000
SONAC.LS	2013	82500000
SONAC.LS	2012	35000000
SONAC.LS	2011	67500000
SONAC.LS	2010	102500000
SONAC.LS	2009	207500000
SONAC.LS	2008	110000000
WEHB.BR	2018	589171952.4
WEHB.BR	2017	660941369.3
WEHB.BR	2016	747332130.9
WEHB.BR	2015	763291870
WEHB.BR	2014	656998821.7
WEHB.BR	2013	524968237.6
WEHB.BR	2012	520426335
WEHB.BR	2011	356707254.3
WEHB.BR	2010	365238369.5
WEHB.BR	2009	327914740.5
WEHB.BR	2008	255986775.5
ERYP.PA	2018	112106468.8
ERYP.PA	2017	331789341.5
ERYP.PA	2016	119986583.5
ERYP.PA	2015	201104984.2
ERYP.PA	2014	183901931.9
ERYP.PA	2013	55255982.88
ALVDM.PA	2018	428215160
ALVDM.PA	2017	361211522.7
ALVDM.PA	2016	248844689.1
ALVDM.PA	2015	138505455.2
ALVDM.PA	2014	125732830.6
ALVDM.PA	2013	104100582
ALVDM.PA	2012	77927776.1
ALVDM.PA	2011	55372650
ALVDM.PA	2010	93321372.8
ALVDM.PA	2009	60171613
ALVDM.PA	2008	44298120
MCPHY.PA	2018	56795448.85
MCPHY.PA	2017	51634954.8
MCPHY.PA	2016	36733659
MCPHY.PA	2015	49837183
MCPHY.PA	2014	71765543.52
ALMDG.PA	2018	248494340
ALMDG.PA	2017	332145900
ALMDG.PA	2016	209139080
ALMDG.PA	2015	166650824.8
ALMDG.PA	2014	157129493
ALMDG.PA	2013	133702766.2
ALMDG.PA	2012	60995792
ALMDG.PA	2011	42087096.48
ALMDG.PA	2010	45793763.84
ALMDG.PA	2009	36582281.1
ALMDG.PA	2008	17697063.93
GOEG.PA	2018	113558909.6
GOEG.PA	2017	210619338
GOEG.PA	2016	284723432.6
GOEG.PA	2015	330027353.7
GOEG.PA	2014	235603992.4
GOEG.PA	2013	273098032.3
GOEG.PA	2012	76518376.43
GOEG.PA	2011	103637202
GOEG.PA	2010	92479479.97
GOEG.PA	2009	81453831.75
GOEG.PA	2008	37054661.06
2CRSI.PA	2018	119644812
SIOE.BR	2018	448015482.5
SIOE.BR	2017	598946532.2
SIOE.BR	2016	555125284
SIOE.BR	2015	362814024.9
SIOE.BR	2014	223933574.4
SIOE.BR	2013	181610184.3
SIOE.BR	2012	141181062
SIOE.BR	2011	112303117.5
SIOE.BR	2010	157866096.6
SIOE.BR	2009	84708637.2
SIOE.BR	2008	75296566.4
AKW.PA	2018	430530744
AKW.PA	2017	901440458.4
AKW.PA	2016	761852229.6
AKW.PA	2015	505405656
AKW.PA	2014	311265705.6
AKW.PA	2013	261901745.8
AKW.PA	2012	98781401.76
AKW.PA	2011	89154627.36
AKW.PA	2010	92283329.04
AKW.PA	2009	42785664
AKW.PA	2008	21874170.72
PHAI.PA	2018	775397787.5
PHAI.PA	2017	666902793.8
PHAI.PA	2016	530335668.8
PHAI.PA	2015	323512345
PHAI.PA	2014	303482500
PHAI.PA	2013	273285991.2
PHAI.PA	2012	182089500
PHAI.PA	2011	133835782.5
PHAI.PA	2010	144761152.5
PHAI.PA	2009	122121358
PHAI.PA	2008	111681560
ARGAN.PA	2018	718978088.7
ARGAN.PA	2017	648505938.7
ARGAN.PA	2016	361973725
ARGAN.PA	2015	302152123.8
ARGAN.PA	2014	279560406.7
ARGAN.PA	2013	204831756
ARGAN.PA	2012	162738090.9
ARGAN.PA	2011	154953758.6
ARGAN.PA	2010	141100274.9
ARGAN.PA	2009	104363530.7
ARGAN.PA	2008	62035064.65
TKOO.PA	2018	2033334820
TKOO.PA	2017	2256454469
ALGIL.PA	2018	359087175
ALGIL.PA	2017	637389000
ALGIL.PA	2016	605890125
ALGIL.PA	2015	431349300
ALGIL.PA	2014	290493742.5
ALGIL.PA	2013	169630706.3
ALGIL.PA	2012	123864693.8
ALGIL.PA	2011	87826275
ALGIL.PA	2010	129087562.5
ALGIL.PA	2009	117906750
ALGIL.PA	2008	65458575
MDXH.BR	2018	110887684.7
MDXH.BR	2017	160337599.7
MDXH.BR	2016	238561017.7
MDXH.BR	2015	186032968
MDXH.BR	2014	166265525.1
MDXH.BR	2013	99328778.7
MDXH.BR	2012	51026880
MDXH.BR	2011	26629927.61
MDXH.BR	2010	19646564.86
MDXH.BR	2009	55247722.66
MDXH.BR	2008	86863088.4
TDSA.LS	2018	56700000
TDSA.LS	2017	93660000
TDSA.LS	2016	77948729.14
TDSA.LS	2015	131880000
TDSA.LS	2014	298620000
TDSA.LS	2013	373800000
TDSA.LS	2012	134400000
TDSA.LS	2011	88200000
TDSA.LS	2010	296642945.3
IDLA.PA	2018	647274625
IDLA.PA	2017	756305420
IDLA.PA	2016	754093935
IDLA.PA	2015	717400208.5
IDLA.PA	2014	374332171
IDLA.PA	2013	320178225.4
IDLA.PA	2012	143431376
XFAB.PA	2018	557129909.9
XFAB.PA	2017	1255896367
CADNi.PA	2018	379837959.6
CADNi.PA	2017	373336228.8
CADNi.PA	2016	313109669.4
CADNi.PA	2015	273414891.6
CADNi.PA	2014	270335124.4
CADNi.PA	2013	269821829.9
CADNi.PA	2012	206344405.1
CADNi.PA	2011	239024157.5
CADNi.PA	2010	320637989.3
CADNi.PA	2009	326746958
CADNi.PA	2008	160425097.3
HUDN.AS	2018	2077991753
HUDN.AS	2017	2569735987
HUDN.AS	2016	1905555243
HUDN.AS	2015	1300033065
HUDN.AS	2014	1225485628
HUDN.AS	2013	1169847591
HUDN.AS	2012	1052125283
HUDN.AS	2011	1029270546
HUDN.AS	2010	1411002637
HUDN.AS	2009	1210574839
HUDN.AS	2008	844366544
BITI.PA	2018	355753282.2
BITI.PA	2017	364560700.8
BITI.PA	2016	417387171.7
BITI.PA	2015	291042393.3
BITI.PA	2014	258235305.1
BITI.PA	2013	246695472.8
BITI.PA	2012	301755951.4
BITI.PA	2011	320794233.8
BITI.PA	2010	369718067.4
BITI.PA	2009	274643343.8
BITI.PA	2008	186821469.5
SRPG.PA	2018	121980708.8
SRPG.PA	2017	219395402
SRPG.PA	2016	701240469.3
SRPG.PA	2015	656170830.5
ABVX.PA	2018	117266071.4
ABVX.PA	2017	84069050.07
ABVX.PA	2016	61090400.7
ABVX.PA	2015	136192179.4
WAVE.PA	2018	467548789.8
WAVE.PA	2017	612366881.8
WAVE.PA	2016	450992885.6
WAVE.PA	2015	345198299
WAVE.PA	2014	188244827.8
WAVE.PA	2013	148956791.2
WAVE.PA	2012	88121783.6
WAVE.PA	2011	89062409.38
WAVE.PA	2010	91686260.24
WAVE.PA	2009	72081638.72
WAVE.PA	2008	56883106.38
ALREA.PA	2018	41347870.85
ALREA.PA	2017	56720464.84
ALREA.PA	2016	23279240.14
ALREA.PA	2015	15346670.56
ALREA.PA	2014	21132672.22
GPBN.PA	2018	265822304
GPBN.PA	2017	542494498
GPBN.PA	2016	935196886.7
GPBN.PA	2015	1070514648
GPBN.PA	2014	1431546010
GPBN.PA	2013	1491193760
GPBN.PA	2012	1410194836
GPBN.PA	2011	1443261993
GPBN.PA	2010	2123922394
GPBN.PA	2009	1611964570
GPBN.PA	2008	1000521888
ALQGC.PA	2018	71637194.7
ALQGC.PA	2017	34616572.2
ALQGC.PA	2016	61754234.56
ALQGC.PA	2015	58951612.34
ALQGC.PA	2014	27417495.9
ALQGC.PA	2013	25153622.28
ALQGC.PA	2012	39540471
ALQGC.PA	2011	90270097.5
ALQGC.PA	2010	70957597.5
ALQGC.PA	2009	59309546.85
EXMR.BR	2018	355810000
EXMR.BR	2017	382074485.1
EXMR.BR	2016	458685500
EXMR.BR	2015	592679500
EXMR.BR	2014	613147500
EXMR.BR	2013	660450000
EXMR.BR	2012	457555000
EXMR.BR	2011	342125000
EXMR.BR	2010	320110000
EXMR.BR	2009	340340000
EXMR.BR	2008	257040000
STF.PA	2018	1013754973
STF.PA	2017	1237400529
STF.PA	2016	1051013760
STF.PA	2015	836808650.4
STF.PA	2014	607528422.6
STF.PA	2013	721465343.6
STF.PA	2012	521163425.4
STF.PA	2011	473047715
STF.PA	2010	525758746.1
STF.PA	2009	581172907
STF.PA	2008	451739252.8
NEDP.AS	2018	277086888
NEDP.AS	2017	297901869.2
NEDP.AS	2016	223543528
NEDP.AS	2015	206141936
NEDP.AS	2014	179236397.6
NEDP.AS	2013	200787600
NEDP.AS	2012	196102556
NEDP.AS	2011	133891864.6
NEDP.AS	2010	160630080
NEDP.AS	2009	115787516
NEDP.AS	2008	119133976
VLS.PA	2018	288207042.2
VLS.PA	2017	214906887.8
VLS.PA	2016	239730586.3
VLS.PA	2015	283852776.2
VLS.PA	2014	238931771.9
VLS.PA	2013	227199564.8
VLS.PA	2012	142010416.4
VLS.PA	2011	116357110.9
VLS.PA	2010	154316111.7
VLS.PA	2009	142634702.8
VLS.PA	2008	60032612.34
