		Company Market Cap
KBC.BR	2016	24596061622
KBC.BR	2015	24093410547
KBC.BR	2014	19405355825
KBC.BR	2013	17199903394
KBC.BR	2012	10297303669
KBC.BR	2011	3483506426
KBC.BR	2010	9126912187
KBC.BR	2009	10871763047
KBC.BR	2008	7673798032
RENA.PA	2018	16131650592
RENA.PA	2017	24814056850
RENA.PA	2016	24991490221
RENA.PA	2015	27392755167
RENA.PA	2014	17900069851
RENA.PA	2013	17284967500
RENA.PA	2012	12031461125
RENA.PA	2011	7925357211
RENA.PA	2010	12863919354
RENA.PA	2009	10314723672
RENA.PA	2008	5285583539
PEUP.PA	2018	16870522031
PEUP.PA	2017	15341362351
PEUP.PA	2016	12546713775
PEUP.PA	2015	13097036843
PEUP.PA	2014	8003166259
PEUP.PA	2013	3349064786
PEUP.PA	2012	1941378835
PEUP.PA	2011	2834336115
PEUP.PA	2010	6649326351
PEUP.PA	2009	5538764805
PEUP.PA	2008	2843692896
DSMN.AS	2018	12961002000
DSMN.AS	2017	14454129750
DSMN.AS	2016	10333968000
DSMN.AS	2015	8396349000
DSMN.AS	2014	9187362000
DSMN.AS	2013	10370253000
DSMN.AS	2012	8307450750
DSMN.AS	2011	6504086250
DSMN.AS	2010	7729612125
DSMN.AS	2009	6251905500
DSMN.AS	2008	3324613125
ABNd.AS	2018	9673107621
ABNd.AS	2017	12668286027
ABNd.AS	2016	5919260000
ABNd.AS	2015	4468854000
VIV.PA	2018	27775306891
VIV.PA	2017	29020804276
VIV.PA	2016	23229850472
VIV.PA	2015	27163924871
VIV.PA	2014	27900896490
VIV.PA	2013	25648941719
VIV.PA	2012	22433950913
VIV.PA	2011	21099518216
VIV.PA	2010	24977055136
VIV.PA	2009	25553309467
VIV.PA	2008	27224072239
PERP.PA	2018	38034914134
PERP.PA	2017	34861789255
PERP.PA	2016	27325152896
PERP.PA	2015	27922351478
PERP.PA	2014	24487796078
PERP.PA	2013	21979562034
PERP.PA	2012	23198759389
PERP.PA	2011	18969964475
PERP.PA	2010	18591385613
PERP.PA	2009	15809161454
PERP.PA	2008	11636612430
AKZO.AS	2018	17784489184
AKZO.AS	2017	18446355117
AKZO.AS	2016	14976757109
AKZO.AS	2015	15272863285
AKZO.AS	2014	13987362093
AKZO.AS	2013	13510728070
AKZO.AS	2012	11850884816
AKZO.AS	2011	8767683879
AKZO.AS	2010	10768909733
AKZO.AS	2009	10749218277
AKZO.AS	2008	7637047652
ILD.PA	2018	7229759770
ILD.PA	2017	11731424966
ILD.PA	2016	10727132766
ILD.PA	2015	12891651080
ILD.PA	2014	11539859564
ILD.PA	2013	8582269164
ILD.PA	2012	7418324065
ILD.PA	2011	5215334159
ILD.PA	2010	4443092016
ILD.PA	2009	4527708316
ILD.PA	2008	3357396100
UMI.BR	2018	8589504000
UMI.BR	2017	8837920000
UMI.BR	2016	6064800000
UMI.BR	2015	4330480000
UMI.BR	2014	3730160000
UMI.BR	2013	4074600000
UMI.BR	2012	5002800000
UMI.BR	2011	3824400000
UMI.BR	2010	4670400000
UMI.BR	2009	2808000000
UMI.BR	2008	1688400000
MICP.PA	2018	15584364275
MICP.PA	2017	21451846015
MICP.PA	2016	18995074928
MICP.PA	2015	15984078019
MICP.PA	2014	13966961123
MICP.PA	2013	14320303725
MICP.PA	2012	13029372626
MICP.PA	2011	8221352652
MICP.PA	2010	9480155094
MICP.PA	2009	7896124142
MICP.PA	2008	5447324343
PRX.AS		NULL
HEIN.AS	2018	44467401724
HEIN.AS	2017	50071907148
HEIN.AS	2016	41045946202
HEIN.AS	2015	45371725826
HEIN.AS	2014	33955354036
HEIN.AS	2013	28270208246
HEIN.AS	2012	29070851878
HEIN.AS	2011	20603613467
HEIN.AS	2010	21133535871
HEIN.AS	2009	16299004869
HEIN.AS	2008	10730443609
EXHO.PA	2018	13197212387
EXHO.PA	2017	16900551810
EXHO.PA	2016	16788532379
EXHO.PA	2015	14163880734
EXHO.PA	2014	12770119672
EXHO.PA	2013	11571202321
EXHO.PA	2012	10012452633
EXHO.PA	2011	8716113427
EXHO.PA	2010	8103298529
EXHO.PA	2009	6264068177
EXHO.PA	2008	6219285550
SOLB.BR	2018	9245128645
SOLB.BR	2017	12271076614
SOLB.BR	2016	11789338922
SOLB.BR	2015	10421415627
SOLB.BR	2014	9520407349
SOLB.BR	2013	9740630295
SOLB.BR	2012	9262068894
SOLB.BR	2011	5392074701
SOLB.BR	2010	6754916075
SOLB.BR	2009	6399171279
SOLB.BR	2008	4493395584
SGOB.PA	2018	15941151642
SGOB.PA	2017	25447714914
SGOB.PA	2016	24569121459
SGOB.PA	2015	22352487537
SGOB.PA	2014	19795298844
SGOB.PA	2013	22190893178
SGOB.PA	2012	17111172640
SGOB.PA	2011	15887450468
SGOB.PA	2010	20436078240
SGOB.PA	2009	19527159024
SGOB.PA	2008	12852505836
ATCA.AS	2018	3000419635
ATCA.AS	2017	14070988763
ATCA.AS	2016	23364578549
ATCA.AS	2015	14540329946
ATCA.AS	2014	16181229138
AEGN.AS	2018	8548149187
AEGN.AS	2017	11138370417
AEGN.AS	2016	10845741346
AEGN.AS	2015	11229002600
AEGN.AS	2014	13431485471
AEGN.AS	2013	14626070718
AEGN.AS	2012	9471658145
AEGN.AS	2011	5921837212
AEGN.AS	2010	7944160860
AEGN.AS	2009	7881663091
AEGN.AS	2008	7141477804
VLOF.PA	2018	6128856581
VLOF.PA	2017	14923199845
VLOF.PA	2016	13059606384
VLOF.PA	2015	11327385077
VLOF.PA	2014	8232319144
VLOF.PA	2013	6391172092
VLOF.PA	2012	2984872007
VLOF.PA	2011	2423246899
VLOF.PA	2010	3321171386
VLOF.PA	2009	1918481905
VLOF.PA	2008	830203130.6
VIE.PA	2018	10155228438
VIE.PA	2017	11985586609
VIE.PA	2016	9112426012
VIE.PA	2015	12317971855
VIE.PA	2014	8296763074
VIE.PA	2013	6506921518
VIE.PA	2012	4779705103
VIE.PA	2011	4400940918
VIE.PA	2010	10914338405
VIE.PA	2009	11414485269
VIE.PA	2008	10490309146
NN.AS	2018	11868855671
NN.AS	2017	12307902353
NN.AS	2016	10780539889
NN.AS	2015	11106949982
NN.AS	2014	8696176191
ATOS.PA	2018	7624210125
ATOS.PA	2017	12766462199
ATOS.PA	2016	10502153208
ATOS.PA	2015	7998124491
ATOS.PA	2014	6693699051
ATOS.PA	2013	6374776787
ATOS.PA	2012	4501899287
ATOS.PA	2011	2832805388
ATOS.PA	2010	2781394063
ATOS.PA	2009	2236884480
ATOS.PA	2008	1248937202
LEGD.PA	2018	13153523524
LEGD.PA	2017	17076297137
LEGD.PA	2016	14408225267
LEGD.PA	2015	13930793568
LEGD.PA	2014	11530303063
LEGD.PA	2013	10590857493
LEGD.PA	2012	8395524216
LEGD.PA	2011	6542557228
LEGD.PA	2010	8019636283
LEGD.PA	2009	5123807824
LEGD.PA	2008	3590054648
TCFP.PA	2018	21691189950
TCFP.PA	2017	19028016998
TCFP.PA	2016	19504352537
TCFP.PA	2015	14570212274
TCFP.PA	2014	9306242058
TCFP.PA	2013	9469496790
TCFP.PA	2012	5310110354
TCFP.PA	2011	4935945223
TCFP.PA	2010	5211441686
TCFP.PA	2009	7143166854
TCFP.PA	2008	5916296240
BOUY.PA	2018	11497430509
BOUY.PA	2017	15629948493
BOUY.PA	2016	11823978332
BOUY.PA	2015	12366147167
BOUY.PA	2014	10070372660
BOUY.PA	2013	8753988936
BOUY.PA	2012	7053067370
BOUY.PA	2011	7665487728
BOUY.PA	2010	11473240455
BOUY.PA	2009	12891378608
BOUY.PA	2008	10351039762
DAST.PA	2018	27121815077
DAST.PA	2017	22961469084
DAST.PA	2016	18621944846
DAST.PA	2015	18929022076
DAST.PA	2014	12924265589
DAST.PA	2013	11380749691
DAST.PA	2012	10490613773
DAST.PA	2011	7562266602
DAST.PA	2010	6681595597
DAST.PA	2009	4685179502
DAST.PA	2008	3825637405
ADYEN.AS	2018	14039564043
WLSNc.AS	2018	14450172988
WLSNc.AS	2017	12622977073
WLSNc.AS	2016	10391285756
WLSNc.AS	2015	9348232523
WLSNc.AS	2014	7653082334
WLSNc.AS	2013	6262847851
WLSNc.AS	2012	4671852036
WLSNc.AS	2011	4028680986
WLSNc.AS	2010	4898014488
WLSNc.AS	2009	4479829795
WLSNc.AS	2008	3887149910
CAPP.PA	2018	14521095764
CAPP.PA	2017	16661357246
CAPP.PA	2016	13750875840
CAPP.PA	2015	14738258067
CAPP.PA	2014	9730508607
CAPP.PA	2013	7818039754
CAPP.PA	2012	5315774095
CAPP.PA	2011	3761075390
CAPP.PA	2010	5441058745
CAPP.PA	2009	4922051359
CAPP.PA	2008	4010002370
ALSO.PA	2018	7874239825
ALSO.PA	2017	7676227445
ALSO.PA	2016	5746128648
ALSO.PA	2015	8747905612
ALSO.PA	2014	8318556263
ALSO.PA	2013	8170189580
ALSO.PA	2012	9281885448
ALSO.PA	2011	6899975348
ALSO.PA	2010	10536596746
ALSO.PA	2009	14179673009
ALSO.PA	2008	11951472339
CNAT.PA	2018	12976038710
CNAT.PA	2017	20694028130
CNAT.PA	2016	16814719749
CNAT.PA	2015	16319442550
CNAT.PA	2014	17094044301
CNAT.PA	2013	13250661642
CNAT.PA	2012	7869847725
CNAT.PA	2011	5992080406
CNAT.PA	2010	10178481926
CNAT.PA	2009	10315164397
CNAT.PA	2008	3635172116
HRMS.PA	2018	51180050938
HRMS.PA	2017	47110350105
HRMS.PA	2016	41172070680
HRMS.PA	2015	32911264191
HRMS.PA	2014	31121862658
HRMS.PA	2013	27817540062
HRMS.PA	2012	23890357936
HRMS.PA	2011	24317914054
HRMS.PA	2010	16548005331
HRMS.PA	2009	9850681834
HRMS.PA	2008	10548451200
KPN.AS	2018	10759281674
KPN.AS	2017	12221871527
KPN.AS	2016	12016496624
KPN.AS	2015	14911729287
KPN.AS	2014	11222229257
KPN.AS	2013	10005206678
KPN.AS	2012	5319537543
KPN.AS	2011	13659730496
KPN.AS	2010	17172899933
KPN.AS	2009	19285647012
KPN.AS	2008	17795085781
ARGX.BR	2018	3060861887
ARGX.BR	2017	1689609943
ARGX.BR	2016	320816075.3
ARGX.BR	2015	176200852
ARGX.BR	2014	119672953.4
INGC.PA	2018	3128179868
INGC.PA	2017	5550940777
INGC.PA	2016	4665492195
INGC.PA	2015	7105404900
INGC.PA	2014	5013082246
INGC.PA	2013	3092897745
INGC.PA	2012	2256676722
INGC.PA	2011	1449437810
INGC.PA	2010	1391232740
INGC.PA	2009	821782977.6
INGC.PA	2008	528508733
EPED.PA	2018	4564843939
EPED.PA	2017	8949048191
EPED.PA	2016	5078916658
EPED.PA	2015	4783832436
EPED.PA	2014	3831147867
EPED.PA	2013	3071153136
EPED.PA	2012	1298971491
EPED.PA	2011	1616892709
EPED.PA	2010	2387232327
EPED.PA	2009	1377506962
EPED.PA	2008	241047469.3
PUBP.PA	2018	11781310034
PUBP.PA	2017	13047688049
PUBP.PA	2016	14798513528
PUBP.PA	2015	13658014587
PUBP.PA	2014	13189297017
PUBP.PA	2013	14181557571
PUBP.PA	2012	9502895213
PUBP.PA	2011	6872908155
PUBP.PA	2010	7474164399
PUBP.PA	2009	5631118692
PUBP.PA	2008	3577776114
CARR.PA	2018	11767759829
CARR.PA	2017	13975187710
CARR.PA	2016	17310222675
CARR.PA	2015	19680246660
CARR.PA	2014	18593321898
CARR.PA	2013	20857984572
CARR.PA	2012	13719757462
CARR.PA	2011	11966503640
CARR.PA	2010	21746248789
CARR.PA	2009	23656535149
CARR.PA	2008	19398922744
AKE.PA	2018	5733009089
AKE.PA	2017	7689157518
AKE.PA	2016	7014197879
AKE.PA	2015	4802959099
AKE.PA	2014	4010252360
AKE.PA	2013	5323456462
AKE.PA	2012	4973121670
AKE.PA	2011	3363710587
AKE.PA	2010	3301228856
AKE.PA	2009	1571829298
AKE.PA	2008	740573419.2
ACCP.PA	2018	10769533638
ACCP.PA	2017	12417777919
ACCP.PA	2016	10086937085
ACCP.PA	2015	9413493420
ACCP.PA	2014	8594128509
ACCP.PA	2013	7802596928
ACCP.PA	2012	6066477351
ACCP.PA	2011	4443875122
ACCP.PA	2010	7521767237
ACCP.PA	2009	8615921512
ACCP.PA	2008	7878083022
TEPRF.PA	2018	8066088000
TEPRF.PA	2017	6901821000
TEPRF.PA	2016	5506434000
TEPRF.PA	2015	4433130975
TEPRF.PA	2014	3227891367
TEPRF.PA	2013	2536340116
TEPRF.PA	2012	1552201466
TEPRF.PA	2011	972071474.4
TEPRF.PA	2010	1429100712
TEPRF.PA	2009	1279227910
TEPRF.PA	2008	1123082688
WLN.PA	2018	7703792177
WLN.PA	2017	5375582587
WLN.PA	2016	3539663184
WLN.PA	2015	3149087656
WLN.PA	2014	2110825408
ASMI.AS	2018	2037965663
ASMI.AS	2017	3511704100
ASMI.AS	2016	2720001893
ASMI.AS	2015	2280829426
ASMI.AS	2014	2213968829
ASMI.AS	2013	1510671038
ASMI.AS	2012	1712829730
ASMI.AS	2011	1235301982
ASMI.AS	2010	1438019596
ASMI.AS	2009	963654950.9
